date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
2024/7/15,5.56,151.5,122.6,7.84,114.6,33.85,11.886,43.05,25.9,31.5,19.025
2024/7/17,5.39,302.2,118.5,4.9,101.4,36.35,13.4,105,28.6,34.85,16.2
2024/8/15,4.7,125,97.7,6.35,98.55,27.95,10.969,38.45,22.35,25.9,14.95
2024/8/16,4.9,201,108.8,5.27,98.8,30.5,11.967,81.95,22.1,39.4,13.02
2024/8/17,5.76,327.4,123.8,4.82,101.5,34.85,13.291,119.4,28.55,34.05,17.4
2024/9/13,5.57,80.52,105.5,8.72,68.488,47.75,11.45,37.7,26.15,18.8,17.725
2024/9/14,5.09,118.5,116.5,10.4,77.877,42.55,12.007,45.75,26.2,29,17.175
2024/9/15,4.49,130.7,101.4,5.54,100.9,25.9,11.089,48.45,23.35,28.65,13.475
2024/10/13,5.21,85.76,101,8.86,69.583,57.35,11.239,33.9,25.9,21.65,17.925
2024/10/14,4.99,119.5,114.3,9.58,76.84,45.15,12.267,43.3,24.55,28.9,16
2024/10/16,4.81,215.4,115,5.69,98.95,34.5,12.38,77.45,21.9,37.75,15.3
2024/10/17,6.15,347.4,129.6,4.93,100.5,37.4,13.455,136.8,33.65,34.85,20.85
2024/11/14,5.08,125.5,113.9,8.99,82.37,46.45,12.8,43.55,25.8,28.85,15.525
2024/11/15,4.79,156.1,98.3,5.71,104,26.4,11.721,56,21.95,32.35,13.36
2024/11/16,4.61,192.2,101.2,5.35,95.6,38.65,11.868,71.2,22.25,35.25,15.6
2024/11/17,6.23,415.8,130,5.34,98.75,37.6,13.6,169.8,36.05,31.4,20.95
2024/12/13,5.26,93.84,97.5,8.54,69.928,62.45,10.978,37.6,29.7,22.5,18
2024/12/14,5.46,112.7,117,8.63,74.882,38.5,12.007,40.95,26.55,27.5,15.65
2024/12/15,4.8,151.8,95,5.38,104.7,26.75,11.27,50.3,21.3,32.2,12.72
2025/1/13,5.91,53.44,129.9,11.04,74.709,38.55,12.164,28.35,28.75,24.5,11.525
2025/1/16,3.95,144.3,82.8,4.64,94.2,23.55,10.083,49.9,16.1,27.65,11.08
2025/1/17,4.72,200.8,106.3,6.25,91.65,35.35,12,80,25.55,35.7,14.38
2025/2/13,5.52,52.96,117.7,10.72,68.085,35.55,12.08,31.45,27.45,24.5,10.85
2025/2/14,4.63,115.1,98.45,7.9,68.661,62.05,10.121,33.95,28.35,21.55,19.275
2025/2/15,5.66,135.8,123.9,8.84,87.554,35.7,11.953,50.6,26.45,27.8,17.825
2025/2/16,3.84,139,85.6,4.94,93.7,26.15,10.278,51.95,15.32,28.05,11.06
2025/3/13,5.39,48.16,104,10.14,63.765,38.45,12.644,32.3,26.25,26.7,10.5
2025/3/14,4.57,111.7,92.5,8.22,71.483,59.7,10.183,32.9,30.35,21.15,17.775
2025/3/15,5.57,142.7,119.7,8.28,89.109,32.8,12.117,48.2,27.75,30,17.625
2025/3/16,4.23,158.8,93.1,5.14,100.3,30.1,10.594,57.1,19.08,30.95,10.92
2025/4/13,5.37,51.12,114,9.69,67.567,42.05,13.096,36.05,27.75,23.5,10.975
2025/4/14,4.63,104.7,96.5,8.8,77.82,61.45,10.73,44.85,29,20.3,20.6
2025/4/16,4.25,159.9,98.35,5.61,96.4,28.15,10.954,55,20.4,34.65,13.4
2025/4/17,5.1,242.8,116.2,5.53,96.85,35.55,12.711,106.9,27.4,35.3,14.98
2025/5/15,6.8,158.8,133.3,9.53,99.19,32.35,12.772,45.25,31.65,38.2,21.3
2025/5/16,4.02,164.5,88.1,5.33,89.9,28.75,10.939,60.55,18.8,36.35,12.54
2025/5/17,5.16,277.2,115.1,5.34,101.7,34.55,13.207,82.6,25.7,35.7,15.68
2025/6/13,4.4,56.68,96.5,7.86,58.235,34.75,11.562,40.35,20.05,18.36,12.95
2025/6/14,4.81,115.1,105.3,9.58,78.165,55,11.365,51.3,27.25,20.85,17.3
2025/6/15,6.7,162,128.9,9.04,116.8,28.6,12.141,44.8,29.2,35.5,20
2025/7/13,5.1,66.88,103.1,9.21,63.362,41.95,12.307,37.6,23.65,20.25,15.325
2025/7/14,5.2,124.9,107.9,10.82,82.14,56.4,11.502,48.05,30.4,23.75,18.85
2025/7/16,4.38,188,109.8,5.35,88.8,28.35,11.917,69.2,20.85,38.15,13
2025/7/17,5.4,301.6,117.7,4.9,101.5,36.4,13.491,106.5,28.4,34.45,15.72
2025/8/14,5.26,129.8,117.7,10.98,85.25,52.85,12.431,47.5,28.85,26.65,18.55
2025/8/15,4.63,130.9,96.2,6.24,102.3,27.3,10.984,40.05,21.35,26.6,15.075
2025/8/16,4.93,199.5,110.2,5.22,98,30.15,12,80.6,21.7,39.05,14.58
