date,1398 HK Equity,700 HK Equity,16 HK Equity,857 HK Equity,1 HK Equity,1928 HK Equity,3 HK Equity,2018 HK Equity,914 HK Equity,1099 HK Equity,2319 HK Equity
2015-09-14,5.13,123.4,117.7,10.44,79.605,46.0,12.020999999999999,47.3,27.85,28.8,18.225
2015-09-15,4.73,131.2,100.4,5.68,104.2,25.6,11.255,47.1,23.8,28.0,13.225
2015-09-16,4.82,209.8,115.2,4.96,99.85,35.95,12.116,83.0,21.6,37.3,14.74
2015-09-17,5.73,338.8,135.1,4.95,100.7,38.25,13.491,137.6,31.7,35.75,20.7
2015-10-13,5.55,84.36,103.3,8.99,70.389,53.45,11.4,34.1,26.75,21.8,17.95
2015-10-14,4.93,114.4,115.0,9.32,75.861,42.25,12.253,42.75,24.75,28.05,16.775
2015-10-15,5.0,145.0,103.9,6.45,107.7,30.65,11.51,47.9,25.05,29.2,14.96
2015-11-13,5.33,83.92,101.5,8.83,69.755,56.7,11.152000000000001,30.6,27.25,21.45,16.75
2015-11-16,4.5,193.2,100.2,5.16,93.6,34.25,11.95,68.2,22.8,35.5,15.04
2015-11-17,6.04,383.0,127.4,5.25,98.0,36.7,13.472999999999999,170.0,32.8,32.0,20.55
2015-12-14,5.26,111.9,112.5,8.25,74.421,40.8,11.925,41.6,27.1,27.25,14.825
2015-12-15,4.47,147.5,93.5,5.05,100.1,24.9,11.119000000000002,51.15,20.65,30.75,12.88
2015-12-16,4.57,184.0,99.7,5.91,90.25,33.25,11.405,68.35,21.75,32.65,15.4
2015-12-17,6.14,389.0,125.7,5.36,95.9,40.65,13.8,139.4,34.75,30.65,21.5
2016-01-13,5.82,53.44,125.0,10.92,74.939,36.15,11.995,28.45,27.85,25.8,11.8
2016-01-14,4.94,102.5,97.35,8.05,69.122,62.75,10.593,36.0,29.45,22.7,18.725
2016-01-15,5.68,121.9,121.3,8.72,81.27600000000001,36.95,12.048,45.9,28.75,29.35,17.275
2016-01-17,4.73,196.7,105.7,6.17,90.6,34.6,11.967,75.75,22.8,35.75,14.66
2016-02-15,5.66,130.5,123.8,8.68,87.266,38.95,11.789000000000001,48.4,26.5,27.35,18.375
2016-02-16,3.98,139.3,84.1,4.97,94.9,25.6,10.443,51.1,14.54,27.1,11.58
2016-02-17,5.13,212.0,108.3,6.03,92.8,32.95,12.231,87.35,26.35,36.4,15.0
2016-03-15,5.58,135.6,115.8,8.21,86.45100000000001,30.85,11.802,53.95,26.65,28.3,17.85
2016-03-16,4.23,150.9,94.45,5.19,99.1,29.05,10.609000000000002,52.95,18.86,30.8,10.8
2016-03-17,5.19,220.8,114.3,5.84,96.9,34.75,12.545,85.45,28.25,36.45,15.74
2016-04-13,5.15,48.92,107.9,9.49,66.587,37.95,12.700999999999999,38.5,27.35,24.75,11.45
2016-04-14,4.79,104.3,99.45,8.74,77.877,60.55,11.077,40.75,31.8,20.3,20.275
2016-04-15,6.94,160.0,126.0,10.5,95.1,34.0,12.882,52.05,31.4,37.75,20.5
2016-05-13,5.56,58.44,109.8,9.81,66.702,40.6,13.152000000000001,44.0,27.0,23.35,12.25
2016-05-14,4.82,106.5,101.9,9.23,77.532,57.5,11.239,43.0,28.5,20.3,19.15
2016-05-16,3.87,159.9,86.6,5.29,91.45,27.45,10.774000000000001,59.95,18.2,32.85,12.62
2016-05-17,5.14,258.8,115.2,5.34,100.6,34.45,12.925999999999998,89.6,25.7,34.45,15.04
2016-06-14,4.95,116.6,106.9,9.58,77.704,53.85,11.529000000000002,52.1,26.9,21.65,17.75
2016-06-15,6.39,154.1,125.4,8.61,112.9,29.2,11.870999999999999,42.3,29.9,36.15,20.5
2016-06-16,4.05,168.8,87.75,5.18,87.85,25.6,10.909,64.15,17.52,35.05,13.06
2016-06-17,5.19,272.6,118.0,4.97,98.0,37.1,13.255,96.0,25.6,35.2,15.3
2016-07-13,4.89,65.96,102.3,9.12,60.653999999999996,39.5,11.995999999999999,37.95,22.05,18.84,15.425
2016-07-14,4.98,124.3,106.2,10.18,80.354,56.45,11.557,49.35,28.4,23.2,18.575
2016-07-15,5.68,150.0,123.8,8.01,112.1,31.6,11.946,43.45,25.15,31.5,18.675
