作者1,作者2,合作次数,1-2单向引用次数,2-1单向引用次数,互引次数
Doudna JA,Gaj T,0,20,0,0
Doudna JA,Li H,0,6,4,4
Doudna JA,Shi X,0,7,0,0
Doudna JA,Arkin AP,2,3,0,0
Doudna JA,Aryee MJ,0,38,1,1
Doudna JA,Dickman MJ,1,4,4,4
Doudna JA,Barbas CF,0,16,0,0
Doudna JA,Hwang WY,0,17,0,0
Doudna JA,Diez-Villasenor C,0,40,4,4
Doudna JA,Garcia-Martinez J,0,3,4,3
Doudna JA,Nureki O,0,9,5,5
Doudna JA,Martin C,0,33,0,0
Doudna JA,Weinstein JA,0,33,0,0
Doudna JA,Nishimasu H,0,28,4,4
Doudna JA,Wang JY,0,0,2,0
Doudna JA,Chen SD,0,16,0,0
Doudna JA,Grissa I,0,28,1,1
Doudna JA,Li J,0,16,1,1
Doudna JA,Shah SA,0,5,8,5
Doudna JA,Zhang K,0,9,0,0
Doudna JA,Wang YP,0,3,0,0
Doudna JA,Wang Y,0,21,1,1
Doudna JA,Inoue A,0,5,0,0
Doudna JA,Mikkelsen TS,0,3,0,0
Doudna JA,Guilinger JP,1,3,0,0
Doudna JA,Lin CY,0,8,0,0
Doudna JA,Heckl D,0,3,0,0
Doudna JA,Reddy TE,0,21,0,0
Doudna JA,Wei JJ,0,8,0,0
Doudna JA,Moosburner M,0,3,0,0
Doudna JA,Matoba S,0,5,0,0
Doudna JA,Kleinstiver BP,2,5,1,1
Doudna JA,Snijders APL,1,14,2,2
Doudna JA,Bae S,0,8,2,2
Doudna JA,White MF,0,14,3,3
Doudna JA,Zhou Q,0,40,0,0
Doudna JA,Kim D,0,6,0,0
Doudna JA,Park J,0,31,0,0
Doudna JA,Xue W,0,3,0,0
Doudna JA,Prew MS,0,11,1,1
Doudna JA,Banfield JF,1,13,8,8
Doudna JA,Crawford GE,0,7,0,0
Doudna JA,Fineran PC,0,14,13,13
Doudna JA,Kriz AJ,0,12,0,0
Doudna JA,Pattanayak V,1,5,0,0
Doudna JA,Kim H,0,12,0,0
Doudna JA,Jacks T,0,9,0,0
Doudna JA,Cascio VM,0,16,0,0
Doudna JA,Shan QW,0,6,0,0
Doudna JA,Liu JX,0,7,0,0
Doudna JA,Topkar VV,0,12,1,1
Doudna JA,Wang L,0,3,0,0
Doudna JA,Zhou JK,0,3,0,0
Doudna JA,Musunuru K,0,12,0,0
Doudna JA,Staals RHJ,3,3,5,3
Doudna JA,Qiu JL,0,3,0,0
Doudna JA,Kim JM,0,6,0,0
Doudna JA,Vogel J,1,18,2,2
Doudna JA,Zheng ZL,0,3,1,1
Doudna JA,Chen KL,0,8,0,0
Doudna JA,Magadan AH,0,36,5,5
