ELEMENT,PT FOOT-NOTE,COORD1,COORD2,COORD3
88,2,-18.94,8.942,2.22
88,3,-16.06,8.941,2.801
88,4,-16.06,8.942,2.221
88,5,-18.94,6.054,2.799
88,6,-18.94,6.054,2.22
88,7,-16.06,6.054,2.8
88,8,-16.06,6.054,2.221
89,1,-18.94,8.942,1.796
89,2,-18.94,8.943,1.216
89,3,-16.06,8.942,1.797
89,4,-16.06,8.942,1.217
89,5,-18.94,6.055,1.796
89,6,-18.94,6.055,1.216
89,7,-16.06,6.054,1.796
89,8,-16.06,6.055,1.217
90,1,-18.94,8.943,0.792
90,2,-18.94,8.943,0.2122
90,3,-16.06,8.943,0.7927
90,4,-16.06,8.943,0.2125
90,5,-18.94,6.056,0.7917
90,6,-18.94,6.056,0.2122
90,7,-16.06,6.055,0.7922
90,8,-16.06,6.056,0.2123
91,1,-13.94,8.941,2.802
91,2,-13.94,8.942,2.222
91,3,-11.05,8.939,2.809
91,4,-11.04,8.94,2.228
91,5,-13.94,6.053,2.801
91,6,-13.94,6.054,2.221
91,7,-11.05,6.052,2.806
91,8,-11.05,6.052,2.225
92,1,-13.94,8.942,1.798
92,2,-13.94,8.942,1.218
92,3,-11.04,8.941,1.802
92,4,-11.05,8.941,1.221
92,5,-13.94,6.054,1.797
92,6,-13.94,6.055,1.217
92,7,-11.05,6.052,1.8
92,8,-11.05,6.053,1.22
93,1,-13.94,8.943,0.7932
93,2,-13.94,8.943,0.2126
93,3,-11.05,8.942,0.7953
93,4,-11.05,8.943,0.2132
93,5,-13.94,6.055,0.7927
93,6,-13.94,6.056,0.2125
93,7,-11.05,6.054,0.7946
93,8,-11.05,6.056,0.213
94,1,-8.927,8.937,2.817
94,2,-8.926,8.938,2.234
94,3,-6.041,8.932,2.83
94,4,-6.041,8.933,2.243
94,5,-8.927,6.049,2.811
94,6,-8.927,6.05,2.23
94,7,-6.041,6.044,2.822
94,8,-6.041,6.046,2.238
95,1,-8.927,8.938,1.807
95,2,-8.93,8.939,1.224
95,3,-6.042,8.934,1.814
95,4,-6.045,8.936,1.228
95,5,-8.928,6.05,1.804
95,6,-8.931,6.051,1.222
95,7,-6.042,6.047,1.81
95,8,-6.045,6.049,1.226
96,1,-8.933,8.94,0.7972
96,2,-8.94,8.942,0.2136
96,3,-6.048,8.938,0.7991
96,4,-6.054,8.942,0.214
96,5,-8.934,6.053,0.796
96,6,-8.94,6.056,0.2134
96,7,-6.049,6.052,0.7979
96,8,-6.054,6.055,0.2137
97,1,-3.934,8.929,2.834
97,2,-3.934,8.931,2.247
97,3,-1.055,8.928,2.831
97,4,-1.055,8.93,2.245
97,5,-3.934,6.041,2.827
97,6,-3.935,6.043,2.241
97,7,-1.055,6.04,2.823
97,8,-1.055,6.042,2.239
98,1,-3.935,8.932,1.817
98,2,-3.937,8.935,1.229
98,3,-1.055,8.932,1.815
98,4,-1.056,8.934,1.229
98,5,-3.936,6.045,1.813
98,6,-3.937,6.048,1.227
98,7,-1.056,6.044,1.811
98,8,-1.056,6.047,1.227
99,1,-3.939,8.937,0.7999
99,2,-3.942,8.942,0.2141
99,3,-1.056,8.937,0.7997
99,4,-1.056,8.941,0.2142
99,5,-3.939,6.051,0.7987
99,6,-3.942,6.055,0.2139
99,7,-1.056,6.051,0.7985
99,8,-1.056,6.055,0.2139
100,1,1.055,8.928,2.831
100,2,1.055,8.93,2.245
100,3,3.934,8.929,2.834
100,4,3.934,8.931,2.247
100,5,1.055,6.04,2.823
100,6,1.055,6.042,2.239
100,7,3.934,6.041,2.827
100,8,3.935,6.043,2.241
101,1,1.055,8.932,1.815
101,2,1.056,8.934,1.229
101,3,3.935,8.932,1.817
101,4,3.937,8.935,1.229
101,5,1.056,6.044,1.811
101,6,1.056,6.047,1.227
101,7,3.936,6.045,1.813
101,8,3.937,6.048,1.227
102,1,1.056,8.937,0.7997
102,2,1.056,8.941,0.2142
102,3,3.939,8.937,0.7999
102,4,3.942,8.942,0.2141
102,5,1.056,6.051,0.7985
102,6,1.056,6.055,0.2139
102,7,3.939,6.051,0.7987
102,8,3.942,6.055,0.2139
103,1,6.041,8.932,2.83
103,2,6.041,8.933,2.243
103,3,8.927,8.937,2.817
103,4,8.926,8.938,2.234
103,5,6.041,6.044,2.822
103,6,6.041,6.046,2.238
103,7,8.927,6.049,2.811
103,8,8.927,6.05,2.23
104,1,6.042,8.934,1.814
104,2,6.045,8.936,1.228
104,3,8.927,8.938,1.807
104,4,8.93,8.939,1.224
104,5,6.042,6.047,1.81
104,6,6.045,6.049,1.226
104,7,8.928,6.05,1.804
104,8,8.931,6.051,1.222
105,1,6.048,8.938,0.7991
105,2,6.054,8.942,0.214
105,3,8.933,8.94,0.7972
105,4,8.94,8.942,0.2136
105,5,6.049,6.052,0.7979
105,6,6.054,6.055,0.2137
105,7,8.934,6.053,0.796
105,8,8.94,6.056,0.2134
106,1,11.05,8.939,2.809
106,2,11.04,8.94,2.228
106,3,13.94,8.941,2.802
106,4,13.94,8.942,2.222
106,5,11.05,6.052,2.806
106,6,11.05,6.052,2.225
106,7,13.94,6.053,2.801
106,8,13.94,6.054,2.221
107,1,11.04,8.941,1.802
107,2,11.05,8.941,1.221
107,3,13.94,8.942,1.798
107,4,13.94,8.942,1.218
107,5,11.05,6.052,1.8
107,6,11.05,6.053,1.22
107,7,13.94,6.054,1.797
107,8,13.94,6.055,1.217
108,1,11.05,8.942,0.7953
108,2,11.05,8.943,0.2132
108,3,13.94,8.943,0.7932
108,4,13.94,8.943,0.2126
108,5,11.05,6.054,0.7946
108,6,11.05,6.056,0.213
108,7,13.94,6.055,0.7927
108,8,13.94,6.056,0.2125
109,1,16.06,8.941,2.801
109,2,16.06,8.942,2.221
109,3,18.94,8.942,2.8
109,4,18.94,8.942,2.22
109,5,16.06,6.054,2.8
109,6,16.06,6.054,2.221
109,7,18.94,6.054,2.799
109,8,18.94,6.054,2.22
110,1,16.06,8.942,1.797
110,2,16.06,8.942,1.217
110,3,18.94,8.942,1.796
110,4,18.94,8.943,1.216
110,5,16.06,6.054,1.796
110,6,16.06,6.055,1.217
110,7,18.94,6.055,1.796
110,8,18.94,6.055,1.216
111,1,16.06,8.943,0.7927
111,2,16.06,8.943,0.2125
111,3,18.94,8.943,0.792
111,4,18.94,8.943,0.2122
111,5,16.06,6.055,0.7922
111,6,16.06,6.056,0.2123
111,7,18.94,6.056,0.7917
111,8,18.94,6.056,0.2122
112,1,21.06,8.942,2.798
112,2,21.06,8.942,2.219
112,3,23.95,8.943,2.797
112,4,23.95,8.943,2.218
112,5,21.06,6.055,2.798
112,6,21.06,6.055,2.219
112,7,23.95,6.055,2.796
112,8,23.94,6.055,2.217
113,1,21.06,8.943,1.795
113,2,21.06,8.943,1.216
113,3,23.94,8.943,1.794
113,4,23.94,8.943,1.215
113,5,21.06,6.055,1.795
113,6,21.06,6.055,1.215
113,7,23.94,6.055,1.794
113,8,23.94,6.056,1.215
114,1,21.06,8.943,0.7916
114,2,21.06,8.943,0.2121
114,3,23.94,8.943,0.791
114,4,23.94,8.943,0.212
114,5,21.06,6.056,0.7913
114,6,21.06,6.056,0.212
114,7,23.94,6.056,0.7908
114,8,23.94,6.056,0.2119
115,1,26.06,8.943,2.795
115,2,26.06,8.943,2.217
115,3,28.95,8.943,2.794
115,4,28.94,8.943,2.216
115,5,26.06,6.055,2.795
115,6,26.06,6.055,2.217
115,7,28.95,6.055,2.794
115,8,28.94,6.056,2.216
116,1,26.06,8.943,1.793
116,2,26.06,8.943,1.214
116,3,28.94,8.943,1.792
116,4,28.94,8.943,1.214
116,5,26.06,6.055,1.793
116,6,26.06,6.056,1.214
116,7,28.94,6.056,1.792
116,8,28.94,6.056,1.214
117,1,26.06,8.943,0.7907
117,2,26.06,8.943,0.2119
117,3,28.94,8.943,0.7902
117,4,28.94,8.943,0.2117
117,5,26.06,6.056,0.7905
117,6,26.06,6.056,0.2118
